2B,3B,AB,BB,BBA,CG,CS,DP,E,ER,ERA,FP,H,HA,HBP,HR,HRA,IPouts,R,RA,SB,SF,SHO,SO,SOA,SV,score
1.56413028,1.4715414,0.6607850399999999,1.33536522,1.47319373,0.70057122,0.71553132,0.91522289,0.53819045,0.49883754999999996,0.76013577,1.4895361999999999,1.33099954,1.56249642,0.41550294,0.6457233099999999,0.89398439,1.4411837,1.35000144,1.47013788,0.47136372000000004,1.26053444,1.22924381,0.98546937,0.57240939,0.42276402999999996,0.9585942370224618
0.62378696,1.54475655,1.17589589,0.6141852800000001,0.98737035,0.93810535,1.00769727,0.94892357,1.24625224,0.54416672,0.86619321,0.95416341,1.25522377,1.31963326,0.46761763999999995,0.5366014299999999,1.55415668,1.55187124,1.45553682,0.62527648,0.7902439800000001,1.5605793399999999,1.3320460299999999,0.89483866,0.72573082,0.87359604,0.9785670170485944
0.61425755,1.11732281,1.09374904,1.26339518,1.39700752,0.77666117,1.5891303300000001,0.91922223,0.46493698000000006,0.5104682300000001,0.61548576,1.05478889,1.21027507,1.09523392,0.71876213,0.6951993599999999,0.52432996,0.51153446,1.48282356,1.02264447,0.5080879899999999,0.87784982,0.8361242799999999,0.80995167,0.65660131,0.43841881000000005,1.0078139817610368
1.27975671,1.21052722,1.2586925,1.31067536,1.45207168,0.76936931,0.47397864999999995,0.97187541,0.77748507,0.56227021,1.04555551,0.7306427799999999,0.70985771,0.76725435,0.86458063,0.46674653,0.48862669999999997,1.49847735,1.23805128,1.37555725,0.56624949,1.14263376,1.0657625099999999,0.6033430200000001,0.7035456099999999,0.5317976200000001,0.9950397878652391
1.40704613,0.52201749,1.56295038,0.47316704,1.0685301,0.54614584,0.71868548,0.71907185,1.37482933,1.17869818,1.11165347,1.17624603,0.80435881,0.47988032,1.03337693,0.64494927,0.41195515000000005,0.8003798799999999,1.28577984,0.48597439,1.25852999,1.57263531,0.81908855,1.0237509,1.38522233,0.71741636,0.968170249841918
1.1041616,1.5212842800000002,0.68349757,0.95881505,0.69692087,0.6043139200000001,0.52664545,0.86012047,1.07294578,1.07933516,0.54968108,1.00023096,0.47712078999999996,0.59069942,1.30479113,0.77247116,0.57387728,1.00309788,1.35827309,0.7030633399999999,0.40623359000000003,0.60135234,0.5312967399999999,0.71871535,0.5980063,1.0825267,1.0234587060249702
1.38103898,0.88045822,0.96354229,1.57518991,1.54593597,0.5416708299999999,0.95107238,1.4425792,0.67733009,0.6250908,0.99285937,0.41432779,0.5946933999999999,1.15632205,1.36811764,1.5801953499999999,1.5891118899999999,0.76956229,1.39173462,0.76659017,1.47263925,1.51371054,1.25737055,1.35406077,1.58533681,0.89130638,1.0332809575034207
0.92437202,1.2219569,1.2873321500000001,1.43532418,1.32831792,0.60627085,0.8091069399999999,0.7411737199999999,0.5756847,1.02734269,1.3630193400000001,0.8101486099999999,0.57158514,1.41715177,1.21090347,1.08613685,1.06617824,0.52619666,0.77979233,0.93367447,0.72915641,1.07365677,0.7063031900000001,0.99902986,1.56363876,0.84534328,1.00124764040047
0.8893888,1.5919531199999999,1.02558441,1.5392097200000001,1.0852489300000001,0.90051819,0.83250914,0.80820531,0.9738047,1.41379867,1.34063799,1.05071222,0.77672218,0.6992682100000001,0.9931832,0.9657039,1.10874475,1.52006409,0.79733657,0.70751491,0.88480424,0.55999955,0.55920936,0.60902294,1.33117174,1.00992325,1.013809520581916
1.10067633,0.44866057000000004,0.58105911,1.27275594,0.98250511,0.98311351,0.48881924,0.414253,1.20225753,0.84590074,0.75723542,0.81616512,1.0511781,1.22265574,0.7200811899999999,1.16744987,1.36292071,1.25149501,1.41350782,0.7332742,0.94264111,1.21687804,0.9401659,0.74614589,0.46514111999999996,0.84305355,1.020017901949975
