2B,3B,AB,BB,BBA,CG,CS,DP,E,ER,ERA,FP,H,HA,HBP,HR,HRA,IPouts,R,RA,SB,SF,SHO,SO,SOA,SV,score
1.0173155,0.5524847900000001,0.7264894399999999,1.56931541,0.84612203,1.51780882,1.5510487400000001,1.4623019400000001,0.96843808,1.0874908699999999,0.81220482,1.17487017,1.57393118,0.77439815,1.26607113,0.59006365,1.5007421399999998,1.5074527,1.02594184,0.83491925,1.07773085,0.45794405000000005,1.55740053,0.87672708,1.25669744,1.17045993,0.9297579449492175
1.15227034,1.46410072,1.17633961,1.38561353,1.3634922,0.60214156,0.99546348,1.07689384,0.79503415,1.05263385,0.63161606,0.70986008,0.87834256,1.26625331,1.00822364,1.48758498,0.41526779,0.8155338400000001,1.10738754,0.45086845,0.5005773,0.99545432,1.47775433,1.58440949,1.2844931800000001,1.1594702,1.0197485133475277
0.98143393,0.8129322999999999,0.45358847,0.7910363300000001,0.7218612799999999,1.30689465,0.5235398600000001,0.90880837,1.26611972,0.84647379,0.92985289,1.16091518,1.13714793,0.64647074,1.58730407,0.85285203,0.40205484,1.14279887,1.5850803,0.87791378,1.06832675,0.63616808,0.60353914,0.96061201,0.95316488,0.77580535,1.0394269369578777
0.5238403899999999,0.80770792,0.46111787000000004,0.64311848,0.78088341,0.7525889299999999,1.23048981,0.99982017,0.93627706,0.96403732,1.05606168,0.70689565,0.94785514,0.54031154,1.08333293,0.97219431,0.42541594000000005,1.04490269,1.54791469,0.5984728100000001,1.55609957,1.00427905,1.18475944,0.72614437,1.53024207,0.48659792,1.0262736409472648
1.22143904,0.49601081999999996,0.62225223,0.84039409,0.99203175,0.8502736200000001,1.5096236699999999,0.54563622,0.79389897,0.5486934299999999,0.7010399199999999,1.55971112,0.6663323800000001,0.5209630199999999,0.47591958999999995,0.46202056,0.99657279,1.0018475,1.43334274,1.21655551,0.56003052,1.5225932100000001,1.53491584,0.85003428,0.8028926000000001,0.84356986,1.0204053694221737
1.31102789,1.02640557,1.53084627,1.43057549,1.29626294,0.74889335,0.8628596,1.21895284,0.99857202,0.76865713,0.44035647,0.60610019,1.10449593,1.09963025,0.42191771,0.96831525,0.48317266999999997,1.57243332,1.38534017,0.6936505,0.72230696,0.53956757,0.98106313,0.47996527,1.20410675,1.3658704099999999,0.9832175765728955
0.98129276,0.97019208,1.06667435,1.26437424,0.80201258,0.6488908099999999,0.7768206,0.93912204,0.78959165,0.42515871000000005,0.77070208,1.434157,0.521385,1.58068285,0.6218358900000001,0.69842304,0.96339299,1.5191166,1.30167125,1.05337108,1.42770323,0.9582727600000001,0.92189159,1.48638457,1.14084326,1.07387468,1.003021433783892
1.44436076,0.66711465,0.49226921999999995,1.3876051,0.42548087999999995,1.31615844,1.20174327,1.07084782,1.45356463,0.50389883,0.7449926499999999,0.47613355,0.61642448,1.10484742,1.25071185,1.01322842,0.7908728899999999,0.93359287,1.12468353,0.81046673,0.48395508,1.30121773,0.78568116,1.16443882,1.4296904,0.86644403,0.9758344577352758
1.08370524,1.29163458,0.5172605100000001,0.93208751,0.95708328,0.54265595,1.01430822,1.50504491,0.48200538000000004,0.90975834,0.68232481,1.38833013,1.55412851,1.59379113,1.43593405,0.68547061,0.6226469299999999,0.6233819700000001,1.25591298,0.85003152,1.10898208,0.99667937,0.49015717999999997,0.43221869,0.7252233,0.99451718,1.015796660100733
1.45828969,1.32846106,1.15423231,1.40555538,1.43196218,0.51471848,0.58967603,1.2134163199999999,0.73670635,1.06296184,0.6762653000000001,1.071816,0.70634624,1.58887425,1.14229105,0.54017619,0.65508294,0.6647138100000001,1.49180092,0.55951766,1.27211502,0.86444983,0.98014954,1.08049744,0.90581725,1.03937953,0.9641054904720773
